Survey,ID,Quest,CHOICE,TT1,CONG1,VAR1,TC1,TT2,CONG2,VAR2,TC2,TT3,CONG3,VAR3,TC3,AV1,AV2,AV3,age,edu,edufin,sex,E1,E2,E3,E4,E5,E6,E7
2,1348,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1410,1,2,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,7,3,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,47,6,6,1,4,4,5,3,3,2,2
2,1410,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,47,6,6,1,4,4,5,3,3,2,2
1,1412,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1412,9,2,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,37,7,7,1,4,5,5,2,2,1,3
1,1413,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1413,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,52,6,6,1,2,5,4,3,5,4,4
1,1417,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,44,5,5,2,3,2,5,4,3,2,2
1,1417,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,44,5,5,2,3,2,5,4,3,2,2
2,1420,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,2,2,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,58,7,5,1,4,5,2,2,4,3,5
2,1420,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,58,7,5,1,4,5,2,2,4,3,5
1,1421,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,2,2,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,47,6,6,1,2,5,5,2,4,2,4
1,1421,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,47,6,6,1,2,5,5,2,4,2,4
2,1423,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,46,6,6,1,3,4,5,1,1,1,2
2,1423,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,46,6,6,1,3,4,5,1,1,1,2
1,1424,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,2,1,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,3,1,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1424,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,45,4,4,1,2,3,4,3,5,1,3
1,1426,1,2,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,2,1,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,7,3,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,43,2,2,1,3,4,2,2,4,4,2
1,1426,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,43,2,2,1,3,4,2,2,4,4,2
2,1467,1,2,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,2,2,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,7,3,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1467,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,56,6,6,1,5,5,3,1,3,1,5
2,1473,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,41,7,7,2,2,4,4,2,3,2,3
2,1473,9,3,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,41,7,7,2,2,4,4,2,3,2,3
1,1476,1,2,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,54,6,4,1,2,5,4,1,2,4,2
1,1476,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,54,6,4,1,2,5,4,1,2,4,2
2,1480,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,3,2,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,5,3,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,44,5,5,1,4,3,5,3,5,3,5
2,1480,9,2,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,44,5,5,1,4,3,5,3,5,3,5
1,1483,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1483,9,2,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,33,6,6,1,3,5,5,3,1,3,3
1,1486,1,2,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,7,1,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1486,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,60,7,7,2,4,4,5,2,3,3,3
1,1488,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,41,4,4,2,3,4,4,2,4,4,3
1,1488,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,41,4,4,2,3,4,4,2,4,4,3
1,1488,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,41,4,4,2,3,4,4,2,4,4,3
1,1488,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,41,4,4,2,3,4,4,2,4,4,3
1,1488,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,41,4,4,2,3,4,4,2,4,4,3
1,1488,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,41,4,4,2,3,4,4,2,4,4,3
1,1488,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,41,4,4,2,3,4,4,2,4,4,3
